"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0.4;0.6;0.635;0.634268854168549;0.74;0.0111790751988316
"BPV1";0.4;0.65;0.661;0.62857625867263;0.74;0.0124152501313887
"BPV1";0.4;0.7;0.62;0.62288189425182;0.74;0.0137166506940419
"BPV1";0.4;0.75;0.621;0.617377069517674;0.74;0.0150363830800733
"BPV1";0.4;0.8;0.621;0.611834436744638;0.74;0.0164264116045643
"BPV1";0.4;0.85;0.599;0.606071784718462;0.74;0.0179367668484979
"BPV1";0.4;0.9;0.577;0.600348126817664;0.74;0.0195026456833353
"BPV1";0.4;0.95;0.603;0.594922476420758;0.74;0.0210474878478854
"BPV1";0.4;1;0.577;0.590053846906262;0.74;0.0224838488276107
"BPV1";0.4;1.05;0.598;0.585558077400127;0.74;0.0238523074563452
"BPV1";0.4;1.1;0.589;0.581162652943261;0.74;0.0252293028200231
"BPV1";0.4;1.15;0.578;0.576994055786613;0.74;0.0265709378488979
"BPV1";0.4;1.2;0.574;0.573178768181132;0.74;0.0278293233855643
"BPV1";0.4;1.25;0.57;0.569843272377769;0.74;0.0289533119551061
"BPV1";0.4;1.3;0.561;0.567104086805863;0.74;0.0298929967992345
"BPV1";0.4;1.35;0.54;0.5648704914264;0.74;0.0306703447732307
"BPV1";0.4;1.4;0.579;0.562958110787797;0.74;0.031343830535826
"BPV1";0.4;1.45;0.578;0.561182569438471;0.74;0.0319756734726271
"BPV1";0.4;1.5;0.542;0.559359491926841;0.74;0.0326309931569291
"BPV1";0.4;1.55;0.566;0.557571124424678;0.74;0.0332802946436763
"BPV1";0.4;1.6;0.556;0.556005051936946;0.74;0.0338541409127258
"BPV1";0.4;1.65;0.556;0.554634907261849;0.74;0.0343602176058233
"BPV1";0.4;1.7;0.564;0.553434323197588;0.74;0.034806751760742
"BPV1";0.4;1.75;0.54;0.552376932542367;0.74;0.0352024154422115
"BPV1";0.4;1.8;0.551;0.551458614038223;0.74;0.0355478542203876
"BPV1";0.4;1.85;0.58;0.550696067091512;0.74;0.0358359790146215
"BPV1";0.4;1.9;0.541;0.55009415549691;0.74;0.0360642297764317
