"ind";"experiment";"cond";"model";"performance"
5;3;"VP1";"wta";0.72
5;3;"VP2";"2scal";0.74
5;3;"VP2";"pfirst";0.65
5;3;"VP2";"rnonc";0.68
5;3;"VP2";"sev";0.64
5;3;"VP2";"vfirst";0.82
5;3;"VP2";"wta";0.7
5;3;"VP3";"2scal";0.73
5;3;"VP3";"pfirst";0.6
5;3;"VP3";"rnonc";0.7
5;3;"VP3";"sev";0.7
5;3;"VP3";"vfirst";0.77
5;3;"VP3";"wta";0.67
5;3;"VP4";"2scal";0.79
5;3;"VP4";"pfirst";0.75
5;3;"VP4";"rnonc";0.61
5;3;"VP4";"sev";0.68
5;3;"VP4";"vfirst";0.76
5;3;"VP4";"wta";0.73
6;1;"BPV1";"2scal";0.74
6;1;"BPV1";"pfirst";0.62
6;1;"BPV1";"rnonc";0.6
6;1;"BPV1";"sev";0.68
6;1;"BPV1";"vfirst";0.66
6;1;"BPV1";"wta";0.65
6;1;"BPV2";"2scal";0.72
6;1;"BPV2";"pfirst";0.75
6;1;"BPV2";"rnonc";0.59
6;1;"BPV2";"sev";0.78
6;1;"BPV2";"vfirst";0.78
6;1;"BPV2";"wta";0.64
6;1;"BVP1";"2scal";0.83
6;1;"BVP1";"pfirst";0.6
6;1;"BVP1";"rnonc";0.55
6;1;"BVP1";"sev";0.77
6;1;"BVP1";"vfirst";0.91
6;1;"BVP1";"wta";0.8
6;1;"BVP2";"2scal";0.72
6;1;"BVP2";"pfirst";0.6
6;1;"BVP2";"rnonc";0.56
6;1;"BVP2";"sev";0.7
6;1;"BVP2";"vfirst";0.88
6;1;"BVP2";"wta";0.77
6;1;"C";"2scal";0.81
6;1;"C";"pfirst";0.87
6;1;"C";"rnonc";0.8
6;1;"C";"sev";0.8
6;1;"C";"vfirst";0.96
6;1;"C";"wta";0.86
6;1;"I";"2scal";0.61
6;1;"I";"pfirst";0.37
6;1;"I";"rnonc";0.39
6;1;"I";"sev";0.57
6;1;"I";"vfirst";0.9
6;1;"I";"wta";0.69
6;2;"BPV1";"2scal";0.85
6;2;"BPV1";"pfirst";0.75
6;2;"BPV1";"rnonc";0.67
6;2;"BPV1";"sev";0.72
6;2;"BPV1";"vfirst";0.77
6;2;"BPV1";"wta";0.81
6;2;"BPV2";"2scal";0.79
6;2;"BPV2";"pfirst";0.8
6;2;"BPV2";"rnonc";0.68
6;2;"BPV2";"sev";0.77
6;2;"BPV2";"vfirst";0.86
6;2;"BPV2";"wta";0.71
6;2;"BVP1";"2scal";0.88
6;2;"BVP1";"pfirst";0.68
6;2;"BVP1";"rnonc";0.7
6;2;"BVP1";"sev";0.68
6;2;"BVP1";"vfirst";0.91
6;2;"BVP1";"wta";0.87
6;2;"BVP2";"2scal";0.78
6;2;"BVP2";"pfirst";0.67
6;2;"BVP2";"rnonc";0.65
6;2;"BVP2";"sev";0.75
6;2;"BVP2";"vfirst";0.87
6;2;"BVP2";"wta";0.73
6;2;"C";"2scal";0.77
6;2;"C";"pfirst";0.94
6;2;"C";"rnonc";0.83
6;2;"C";"sev";0.84
6;2;"C";"vfirst";0.98
6;2;"C";"wta";0.95
6;2;"I";"2scal";0.43
6;2;"I";"pfirst";0.25
6;2;"I";"rnonc";0.55
6;2;"I";"sev";0.47
6;2;"I";"vfirst";0.82
6;2;"I";"wta";0.48
6;3;"PV1";"2scal";0.69
6;3;"PV1";"pfirst";0.68
6;3;"PV1";"rnonc";0.66
6;3;"PV1";"sev";0.73
6;3;"PV1";"vfirst";0.69
6;3;"PV1";"wta";0.69
6;3;"PV2";"2scal";0.68
6;3;"PV2";"pfirst";0.69
6;3;"PV2";"rnonc";0.64
6;3;"PV2";"sev";0.77
6;3;"PV2";"vfirst";0.66
6;3;"PV2";"wta";0.74
6;3;"PV3";"2scal";0.71
6;3;"PV3";"pfirst";0.73
6;3;"PV3";"rnonc";0.57
6;3;"PV3";"sev";0.76
6;3;"PV3";"vfirst";0.67
6;3;"PV3";"wta";0.75
6;3;"PV4";"2scal";0.69
6;3;"PV4";"pfirst";0.7
6;3;"PV4";"rnonc";0.64
6;3;"PV4";"sev";0.63
6;3;"PV4";"vfirst";0.67
6;3;"PV4";"wta";0.7
6;3;"VP1";"2scal";0.72
6;3;"VP1";"pfirst";0.52
6;3;"VP1";"rnonc";0.68
6;3;"VP1";"sev";0.71
6;3;"VP1";"vfirst";0.81
6;3;"VP1";"wta";0.69
6;3;"VP2";"2scal";0.71
6;3;"VP2";"pfirst";0.56
6;3;"VP2";"rnonc";0.67
6;3;"VP2";"sev";0.67
6;3;"VP2";"vfirst";0.7
6;3;"VP2";"wta";0.61
6;3;"VP3";"2scal";0.77
6;3;"VP3";"pfirst";0.64
6;3;"VP3";"rnonc";0.64
6;3;"VP3";"sev";0.65
6;3;"VP3";"vfirst";0.75
6;3;"VP3";"wta";0.65
6;3;"VP4";"2scal";0.69
6;3;"VP4";"pfirst";0.64
6;3;"VP4";"rnonc";0.67
6;3;"VP4";"sev";0.68
6;3;"VP4";"vfirst";0.72
6;3;"VP4";"wta";0.69
7;1;"BPV1";"2scal";0.59
7;1;"BPV1";"pfirst";0.71
7;1;"BPV1";"rnonc";0.62
7;1;"BPV1";"sev";0.68
7;1;"BPV1";"vfirst";0.75
7;1;"BPV1";"wta";0.74
7;1;"BPV2";"2scal";0.79
7;1;"BPV2";"pfirst";0.72
7;1;"BPV2";"rnonc";0.66
7;1;"BPV2";"sev";0.72
7;1;"BPV2";"vfirst";0.74
7;1;"BPV2";"wta";0.7
7;1;"BVP1";"2scal";0.84
7;1;"BVP1";"pfirst";0.6
7;1;"BVP1";"rnonc";0.6
7;1;"BVP1";"sev";0.85
7;1;"BVP1";"vfirst";0.94
7;1;"BVP1";"wta";0.81
7;1;"BVP2";"2scal";0.77
7;1;"BVP2";"pfirst";0.63
7;1;"BVP2";"rnonc";0.65
7;1;"BVP2";"sev";0.72
7;1;"BVP2";"vfirst";0.87
7;1;"BVP2";"wta";0.79
7;1;"C";"2scal";0.88
7;1;"C";"pfirst";0.77
7;1;"C";"rnonc";0.76
7;1;"C";"sev";0.74
7;1;"C";"vfirst";0.94
7;1;"C";"wta";0.88
7;1;"I";"2scal";0.7
7;1;"I";"pfirst";0.36
7;1;"I";"rnonc";0.53
7;1;"I";"sev";0.64
7;1;"I";"vfirst";0.88
7;1;"I";"wta";0.64
7;2;"BPV1";"2scal";0.78
7;2;"BPV1";"pfirst";0.8
7;2;"BPV1";"rnonc";0.6
7;2;"BPV1";"sev";0.83
7;2;"BPV1";"vfirst";0.74
7;2;"BPV1";"wta";0.8
7;2;"BPV2";"2scal";0.75
7;2;"BPV2";"pfirst";0.79
7;2;"BPV2";"rnonc";0.62
