"pset";"nrep";"Choice_type";"cond";"experiment";"performance"
3;57;7;"BVP1";1;0.955555555555556
3;58;7;"BVP1";1;0.866666666666667
3;59;7;"BVP1";1;0.888888888888889
3;60;7;"BVP1";1;0.911111111111111
3;61;7;"BVP1";1;0.955555555555556
3;62;7;"BVP1";1;0.9
3;63;7;"BVP1";1;0.922222222222222
3;64;7;"BVP1";1;0.944444444444444
3;65;7;"BVP1";1;0.944444444444444
3;66;7;"BVP1";1;0.933333333333333
3;67;7;"BVP1";1;0.722222222222222
3;68;7;"BVP1";1;0.833333333333333
3;69;7;"BVP1";1;0.877777777777778
3;70;7;"BVP1";1;0.922222222222222
3;71;7;"BVP1";1;0.833333333333333
3;72;7;"BVP1";1;0.911111111111111
3;73;7;"BVP1";1;0.822222222222222
3;74;7;"BVP1";1;0.933333333333333
3;75;7;"BVP1";1;0.9
3;76;7;"BVP1";1;0.888888888888889
3;77;7;"BVP1";1;0.933333333333333
3;78;7;"BVP1";1;0.922222222222222
3;79;7;"BVP1";1;0.855555555555556
3;80;7;"BVP1";1;0.955555555555556
3;81;7;"BVP1";1;0.866666666666667
3;82;7;"BVP1";1;0.433333333333333
3;83;7;"BVP1";1;0.933333333333333
3;84;7;"BVP1";1;0.144444444444444
3;85;7;"BVP1";1;0.877777777777778
3;86;7;"BVP1";1;0.833333333333333
3;87;7;"BVP1";1;0.833333333333333
3;88;7;"BVP1";1;0.866666666666667
3;89;7;"BVP1";1;0.933333333333333
3;90;7;"BVP1";1;0.944444444444444
3;91;7;"BVP1";1;0.944444444444444
3;92;7;"BVP1";1;0.922222222222222
3;93;7;"BVP1";1;0.855555555555556
3;94;7;"BVP1";1;0.755555555555556
3;95;7;"BVP1";1;0.688888888888889
3;96;7;"BVP1";1;0.9
3;97;7;"BVP1";1;0.877777777777778
3;98;7;"BVP1";1;0.833333333333333
3;99;7;"BVP1";1;0.777777777777778
3;100;7;"BVP1";1;0.855555555555556
4;1;7;"BVP2";1;0.822222222222222
4;2;7;"BVP2";1;0.844444444444444
4;3;7;"BVP2";1;0.9
4;4;7;"BVP2";1;0.833333333333333
4;5;7;"BVP2";1;0.933333333333333
4;6;7;"BVP2";1;0.933333333333333
4;7;7;"BVP2";1;0.855555555555556
4;8;7;"BVP2";1;0.877777777777778
4;9;7;"BVP2";1;0.9
4;10;7;"BVP2";1;0.911111111111111
4;11;7;"BVP2";1;0.877777777777778
4;12;7;"BVP2";1;0.966666666666667
4;13;7;"BVP2";1;0.911111111111111
4;14;7;"BVP2";1;0.855555555555556
4;15;7;"BVP2";1;0.8
4;16;7;"BVP2";1;0.9
4;17;7;"BVP2";1;0.788888888888889
4;18;7;"BVP2";1;0.866666666666667
4;19;7;"BVP2";1;0.9
4;20;7;"BVP2";1;0.877777777777778
4;21;7;"BVP2";1;0.855555555555556
4;22;7;"BVP2";1;0.888888888888889
4;23;7;"BVP2";1;0.844444444444444
4;24;7;"BVP2";1;0.855555555555556
4;25;7;"BVP2";1;0.844444444444444
4;26;7;"BVP2";1;0.866666666666667
4;27;7;"BVP2";1;0.866666666666667
4;28;7;"BVP2";1;0.888888888888889
4;29;7;"BVP2";1;0.844444444444444
4;30;7;"BVP2";1;0.911111111111111
4;31;7;"BVP2";1;0.844444444444444
4;32;7;"BVP2";1;0.877777777777778
4;33;7;"BVP2";1;0.922222222222222
4;34;7;"BVP2";1;0.855555555555556
4;35;7;"BVP2";1;0.877777777777778
4;36;7;"BVP2";1;0.922222222222222
4;37;7;"BVP2";1;0.877777777777778
4;38;7;"BVP2";1;0.911111111111111
4;39;7;"BVP2";1;0.877777777777778
4;40;7;"BVP2";1;0.866666666666667
4;41;7;"BVP2";1;0.955555555555556
4;42;7;"BVP2";1;0.866666666666667
4;43;7;"BVP2";1;0.766666666666667
4;44;7;"BVP2";1;0.866666666666667
4;45;7;"BVP2";1;0.844444444444444
4;46;7;"BVP2";1;0.866666666666667
4;47;7;"BVP2";1;0.866666666666667
4;48;7;"BVP2";1;0.866666666666667
4;49;7;"BVP2";1;0.888888888888889
4;50;7;"BVP2";1;0.877777777777778
4;51;7;"BVP2";1;0.944444444444444
4;52;7;"BVP2";1;0.9
4;53;7;"BVP2";1;0.888888888888889
4;54;7;"BVP2";1;0.888888888888889
4;55;7;"BVP2";1;0.933333333333333
4;56;7;"BVP2";1;0.9
4;57;7;"BVP2";1;0.855555555555556
4;58;7;"BVP2";1;0.9
4;59;7;"BVP2";1;0.866666666666667
4;60;7;"BVP2";1;0.855555555555556
4;61;7;"BVP2";1;0.911111111111111
4;62;7;"BVP2";1;0.955555555555556
4;63;7;"BVP2";1;0.933333333333333
