"pset";"nrep";"Choice_type";"cond_names";"performance"
2;38;1;"BVP2";0.866666666666666
2;39;1;"BVP2";0.811111111111111
2;40;1;"BVP2";0.855555555555556
2;41;1;"BVP2";0.777777777777778
2;42;1;"BVP2";0.788888888888889
2;43;1;"BVP2";0.877777777777778
2;44;1;"BVP2";0.888888888888889
2;45;1;"BVP2";0.711111111111111
2;46;1;"BVP2";0.788888888888889
2;47;1;"BVP2";0.855555555555555
2;48;1;"BVP2";0.822222222222222
2;49;1;"BVP2";0.866666666666667
2;50;1;"BVP2";0.822222222222222
2;51;1;"BVP2";0.822222222222222
2;52;1;"BVP2";0.866666666666667
2;53;1;"BVP2";0.833333333333333
2;54;1;"BVP2";0.766666666666667
2;55;1;"BVP2";0.7
2;56;1;"BVP2";0.822222222222222
2;57;1;"BVP2";0.822222222222222
2;58;1;"BVP2";0.811111111111111
2;59;1;"BVP2";0.855555555555555
2;60;1;"BVP2";0.9
2;61;1;"BVP2";0.755555555555556
2;62;1;"BVP2";0.822222222222222
2;63;1;"BVP2";0.8
2;64;1;"BVP2";0.744444444444444
2;65;1;"BVP2";0.8
2;66;1;"BVP2";0.788888888888889
2;67;1;"BVP2";0.788888888888889
2;68;1;"BVP2";0.666666666666667
2;69;1;"BVP2";0.788888888888889
2;70;1;"BVP2";0.777777777777778
2;71;1;"BVP2";0.833333333333333
2;72;1;"BVP2";0.833333333333333
2;73;1;"BVP2";0.866666666666667
2;74;1;"BVP2";0.766666666666667
2;75;1;"BVP2";0.855555555555556
2;76;1;"BVP2";0.922222222222222
2;77;1;"BVP2";0.844444444444445
2;78;1;"BVP2";0.955555555555555
2;79;1;"BVP2";0.811111111111111
2;80;1;"BVP2";0.811111111111111
2;81;1;"BVP2";0.8
2;82;1;"BVP2";0.844444444444444
2;83;1;"BVP2";0.711111111111111
2;84;1;"BVP2";0.811111111111111
2;85;1;"BVP2";0.9
2;86;1;"BVP2";0.755555555555556
2;87;1;"BVP2";0.788888888888889
2;88;1;"BVP2";0.822222222222222
2;89;1;"BVP2";0.855555555555556
